unit,life,agree_hpc_signature,source_sig,cascade_source,z_Nf,z_NRf,z_BPR,z_P30,first3,occl_fan_per_node,occl_hpc_per_node,gnn_source
26,243,1.0,HPC,HPC,5.7067245136672184,6.76462684239376,4.98504187689764,-6.927591912906392,"s9,s11,s15",0.41192856431007385,0.31933993101119995,Fan
27,320,0.0,Fan,Fan,5.873545668352439,5.897254201006234,-8.567660878530111,37.14669540465257,"s8,s13,s12",1.6638782024383545,0.6413539052009583,Fan
28,200,1.0,HPC,HPC,5.910931609062101,7.28293181969394,3.7466785958701614,-5.195430975693791,"s11,s12,s13",0.04215594753623009,0.06077488139271736,HPC
29,223,1.0,HPC,HPC,5.053353739782612,6.374031873676078,4.345312339166608,-4.827157634793301,"s11,s13,s4",-0.060262277722358704,0.10362152010202408,HPC
30,218,1.0,HPC,HPC,3.4728436006263124,3.2836300551376527,5.452980628724138,-4.956631631640877,"s14,s9,s20",0.4532058835029602,3.2206177711486816,HPC
31,183,1.0,HPC,HPC,3.9209493994083897,3.7424189116678805,3.450866126583704,-4.419619203137374,"s9,s11,s4",0.06251293420791626,0.2708767354488373,HPC
32,189,1.0,HPC,HPC,2.1466100948067135,2.323703345566677,4.266290876736544,-4.843044457547097,"s14,s9,s12",-0.42371073365211487,2.1232776641845703,HPC
33,231,0.0,Fan,Fan,16.489071821050967,15.970432894719313,-5.723823032881918,25.84316874097532,"s13,s7,s14",1.2130464315414429,-0.14202317595481873,Fan
34,459,0.0,Fan,Fan,16.507166871015116,14.741251636812194,-7.820719237143562,29.265610550453996,"s8,s7,s12",2.1350717544555664,0.7138872146606445,Fan
35,231,1.0,HPC,HPC,7.326218851109547,5.881433468112106,6.258268424213963,-6.858685810171467,"s21,s11,s12",0.49733999371528625,0.5658683180809021,HPC
36,324,1.0,HPC,HPC,6.869804977555955,9.339540124862438,5.264497874318207,-7.563089304163892,"s7,s12,s13",-0.5056757926940918,-0.10849422216415405,HPC
37,324,0.0,Fan,HPC,3.936016843418968,3.7093934752505366,-6.537933428338751,24.79978406072139,"s9,s7,s12",0.4471229612827301,-0.11675173789262772,Fan
38,201,0.0,Fan,HPC,16.75369952454567,14.473355393923619,-5.137390763909117,26.387369572378315,"s17,s12,s7",1.7157922983169556,-0.28566181659698486,Fan
39,288,0.0,Fan,HPC,16.448340172101997,14.808688832926682,-6.26488203230524,33.97341113175586,"s12,s7,s13",1.0074812173843384,0.017234105616807938,Fan
40,188,1.0,HPC,HPC,5.844659676075885,5.754449325749261,4.079979524314378,-5.106655701838367,"s12,s7,s8",-0.1656598448753357,0.05216672644019127,HPC
41,295,0.0,Fan,HPC,11.977007468850667,13.618780139210461,-5.639028383889707,22.759548525488203,"s7,s12,s14",1.9139286279678345,-0.13558052480220795,Fan
42,193,0.0,Fan,HPC,4.595015415641284,4.600866713148715,-7.910550971107204,29.93795868158366,"s14,s9,s7",0.8113645911216736,-0.24026986956596375,Fan
43,321,0.0,Fan,HPC,14.492925103244751,12.959552520265325,-7.018918528726307,22.905875413806477,"s14,s12,s7",1.7842425107955933,0.41586771607398987,Fan
44,180,1.0,HPC,Fan,4.760376143343116,4.571312900807478,2.8748943060166106,-4.0507419234072986,"s15,s8,s13",0.27462002635002136,0.5245762467384338,HPC
45,205,0.0,Fan,HPC,14.290158126147066,18.542792775135958,-6.531806897835052,26.781026065920976,"s12,s9,s7",1.4923232793807983,-0.3587298095226288,Fan
46,204,0.0,Fan,HPC,16.139807135195717,15.736726204065576,-5.521268006687485,29.29948493578153,"s7,s12,s8",1.012964129447937,-0.5447096824645996,Fan
47,269,1.0,HPC,HPC,6.09641387505075,6.978057748021844,5.71265592632537,-7.485013249234008,"s14,s21,s13",0.004719490651041269,0.9581926465034485,HPC
48,174,1.0,HPC,HPC,2.475662596582287,2.2390765713128196,2.8266817286220705,-3.8045316479693208,"s14,s2,s9",0.043475039303302765,2.1436362266540527,HPC
49,256,0.0,Fan,HPC,15.482813968152481,15.203900782412285,-6.468140965756828,28.14963614503319,"s7,s13,s14",1.7890794277191162,0.15635868906974792,Fan
50,161,1.0,HPC,Fan,9.414774209000669,8.078639763955243,4.479243575012877,-6.0660274735856445,"s13,s7,s4",0.198911651968956,0.4374871551990509,HPC
51,190,1.0,HPC,HPC,2.617318082098732,2.5048101872249915,4.200320407089733,-4.590328851967689,"s14,s9,s4",-0.13527312874794006,1.8398702144622803,HPC
52,222,1.0,HPC,HPC,5.13528256433951,4.601700631565996,5.692114367466902,-5.822505819457287,"s17,s2,s7",-0.0489010326564312,0.5920612215995789,HPC
53,164,1.0,HPC,Fan,7.092421363534639,7.517090171216617,4.839922807462911,-4.936903218494264,"s13,s11,s8",0.009143409319221973,0.24475698173046112,HPC
54,194,1.0,HPC,HPC,1.5946909178187447,1.1935311707336989,3.3650639884633637,-3.4018996109066806,"s9,s14,s12",0.2300766259431839,2.0492970943450928,HPC
55,525,0.0,Fan,HPC,4.876483653000744,4.9031951912412755,-8.187963411194952,28.777593165750744,"s12,s7,s21",1.0223989486694336,-0.017464768141508102,Fan
56,195,1.0,HPC,Fan,6.485576668747749,5.7322363243544885,3.623674898549055,-4.636950617197647,"s20,s15,s13",0.2824121415615082,0.4805016815662384,HPC
57,215,0.0,Fan,HPC,14.373344921815763,14.328035578908453,-5.791444246134694,23.791813850771113,"s12,s7,s13",1.5778517723083496,-0.4462190270423889,Fan
58,178,1.0,HPC,Fan,6.10141702174995,5.632491071784366,3.5135119298236543,-5.575412637168299,"s13,s11,s12",0.4083579182624817,0.3334099352359772,Fan
59,299,0.0,Fan,HPC,15.79903333482843,12.069142186507674,-6.343610599440706,27.223745417649962,"s12,s7,s8",1.5497105121612549,0.016596831381320953,Fan
60,190,0.0,Fan,HPC,14.396301161237451,11.122091767871321,-7.05746880352269,22.24968242358744,"s7,s12,s11",1.5845962762832642,-0.614169716835022,Fan
61,199,1.0,HPC,HPC,2.132951064814783,2.737820990459253,4.08073382802695,-4.530411136892529,"s9,s11,s14",-0.16637732088565826,0.9819957613945007,HPC
62,246,0.0,Fan,HPC,2.644042150664238,2.6229982772113174,-5.895032900740446,15.579483264009987,"s9,s11,s3",1.328817367553711,0.3501870632171631,Fan
63,231,1.0,HPC,HPC,5.060315498640552,5.821865013093361,4.63801550789409,-6.7042695079306105,"s2,s7,s11",-0.051403433084487915,-0.004609111696481705,HPC
64,195,1.0,HPC,HPC,3.401136933592745,3.4560748141253796,4.3877535910222285,-5.127593055679581,"s14,s15,s9",-0.18169596791267395,1.7132920026779175,HPC
65,234,1.0,HPC,HPC,8.624245136020308,7.00301627546242,6.959096117098342,-7.2695263457414985,"s4,s7,s2",-0.18782539665699005,0.08519399166107178,HPC
66,165,1.0,HPC,HPC,6.661823626816475,6.178742190727049,5.3783094883417295,-5.968153001102274,"s3,s8,s13",-0.19428248703479767,-0.01787828654050827,HPC
67,263,1.0,HPC,Fan,5.505593024762955,6.055477645247968,4.209701536641782,-5.430904934250589,"s4,s12,s20",0.566296398639679,0.19596447050571442,Fan
68,201,1.0,HPC,HPC,3.992918259403215,5.386107819211306,4.319677288464939,-4.415072168126087,"s14,s9,s21",-0.1603216826915741,1.7908574342727661,HPC
69,170,1.0,HPC,Fan,4.202236049189099,4.270011740277301,3.0429404309229406,-4.036775114596851,"s8,s21,s4",0.15438143908977509,-0.1288522630929947,Fan
70,172,1.0,HPC,HPC,5.703705691374321,5.758316361814223,5.307459402702094,-5.87881547641883,"s4,s21,s3",0.5908330082893372,0.5196437239646912,Fan
71,409,0.0,Fan,HPC,4.725945283596877,4.546650107813111,-6.945691469770583,22.203513922711423,"s20,s14,s21",1.0809558629989624,0.41896483302116394,Fan
72,232,0.0,Fan,HPC,13.481178682351707,11.776942287215542,-5.822206316047732,27.52446871528282,"s12,s7,s8",1.0292497873306274,-0.5964404344558716,Fan
73,215,0.0,Fan,Fan,4.468980446797029,4.621393722274768,-7.804703982683186,28.055742662582894,"s15,s7,s12",0.8672237396240234,-0.09544088691473007,Fan
74,193,1.0,HPC,HPC,3.3105892535350048,4.0081775215954885,4.084097045456862,-4.517307761529432,"s4,s9,s11",-0.19591960310935974,0.6508451700210571,HPC
75,259,0.0,Fan,HPC,4.317009421527476,4.4048051165738675,-6.545617266284719,21.066695921916534,"s12,s7,s9",1.3096216917037964,-0.08457685261964798,Fan
76,153,1.0,HPC,HPC,4.5480769230953255,5.054261707605913,3.5103136865965663,-4.240019254224054,"s11,s13,s4",0.0027031239587813616,0.4025879502296448,HPC
77,255,0.0,Fan,HPC,12.629865736095972,13.760688236941078,-6.051229650291126,20.754554543946973,"s12,s7,s9",1.9748609066009521,0.43411505222320557,Fan
78,221,1.0,HPC,Fan,8.67628164905094,6.251633986906688,5.255864976804373,-5.960775737178968,"s4,s8,s12",-0.23771260678768158,-0.02488844469189644,HPC
79,166,1.0,HPC,HPC,6.33359842084215,6.872811769228549,4.267028919407739,-7.247591111323433,"s7,s11,s13",-0.07674510031938553,0.31114524602890015,HPC
80,147,1.0,HPC,HPC,6.256360399989356,7.201338157867393,3.8581312892598336,-4.879045401390763,"s2,s12,s11",0.3384244740009308,0.8497490286827087,HPC
81,347,0.0,Fan,HPC,16.710356047999923,15.432897245687727,-6.181425284584012,31.547678896753098,"s9,s7,s12",1.6379226446151733,0.054602429270744324,Fan
82,285,0.0,Fan,Fan,15.622571256391028,13.32837594278738,-5.676323130572909,22.261493519217392,"s21,s8,s7",1.4160243272781372,-0.3606172800064087,Fan
83,181,1.0,HPC,HPC,4.151844404123201,4.4032402664255486,3.7219982905335445,-4.775427046421261,"s9,s11,s14",-0.44758304953575134,0.16248151659965515,HPC
84,226,0.0,Fan,HPC,14.420461041996639,17.196204887602537,-5.872218867819138,27.3496461847131,"s8,s9,s12",1.2160532474517822,-0.20370061695575714,Fan
85,266,0.0,Fan,HPC,13.064738788476259,13.029571449356917,-5.229157570236259,28.92216421962258,"s12,s11,s13",1.5745139122009277,-0.01290157064795494,Fan
86,341,1.0,HPC,HPC,4.534226631353855,4.934685505182198,5.182931077036587,-5.514059424245907,"s14,s9,s3",0.3843352198600769,1.180070161819458,HPC
87,172,1.0,HPC,HPC,3.455049986445147,2.462993628388747,4.334366050688314,-3.7856314936329305,"s11,s8,s12",0.030515529215335846,1.2810274362564087,HPC
88,322,0.0,Fan,HPC,15.792535075596508,14.726079033383904,-5.838447054346657,30.591448986304812,"s7,s9,s12",1.1602699756622314,-0.2594115436077118,Fan
89,207,0.0,Fan,HPC,2.1679572370993934,2.2671906947640355,-5.028180879229849,14.380050817412192,"s17,s7,s12",0.8131347894668579,0.2149830162525177,Fan
90,181,1.0,HPC,HPC,5.733494934965571,5.863307517465147,5.297589571564924,-5.475323070289447,"s11,s7,s4",0.18525607883930206,0.052737314254045486,Fan
91,156,1.0,HPC,Fan,7.168172601218598,7.21885021528256,5.517046565575762,-6.941924684611186,"s15,s17,s3",-0.03679758310317993,0.2346896529197693,HPC
92,158,1.0,HPC,HPC,4.775829332976845,4.910779533547867,2.891024897574418,-4.658199380468908,"s11,s12,s8",0.22121410071849823,0.198866605758667,Fan
93,171,1.0,HPC,HPC,6.482539920233009,8.46000000001134,4.097401264094719,-6.9141655468713115,"s11,s7,s14",0.09499219805002213,0.5218853950500488,HPC
94,392,0.0,Fan,Fan,14.535113965751286,15.357004467270201,-5.016853271477157,18.869012674306784,"s13,s12,s14",0.662848711013794,-0.26226869225502014,Fan
95,166,1.0,HPC,HPC,2.194977598566976,1.8391124964448005,2.8752179446312187,-3.9084592228288746,"s9,s14,s20",0.0727667585015297,1.3560881614685059,HPC
96,491,0.0,Fan,HPC,17.295122653395804,14.429482463590535,-5.484978744571186,26.292011086825816,"s11,s8,s7",1.3163564205169678,0.2538122832775116,Fan
97,275,0.0,Fan,HPC,14.602853480573522,13.946107784408863,-6.693934091336304,25.119209773386686,"s12,s7,s14",1.288169026374817,-0.020458953455090523,Fan
98,307,0.0,Fan,HPC,15.30606151821587,13.103410689477604,-7.71422373004729,23.93378453238395,"s17,s8,s12",2.234128475189209,0.7396007776260376,Fan
99,145,1.0,HPC,HPC,4.477223012409427,3.1126493772876276,3.850823659359296,-3.5172893743207236,"s12,s20,s3",0.6913103461265564,0.2596782147884369,Fan
100,152,1.0,HPC,HPC,4.218879211251368,4.009043932854805,4.207380144309903,-4.958156591891286,"s9,s7,s21",0.17752787470817566,0.24770478904247284,HPC
