life,det_gev,det_pot,lead_gev,lead_pot,xi_gev,xi_pot,fa_gev_healthy,fa_pot_healthy,unit
217,144,157.0,73,60.0,-0.1263303937275107,-0.24565618455467603,False,False,89
154,93,93.0,61,61.0,-0.2592769692402843,-1.3691325628692592,False,False,90
135,84,98.0,51,37.0,-0.0901818701487559,-0.5792642581198404,False,False,91
341,132,177.0,209,164.0,-0.18170895542803767,-0.6435518456071598,False,False,92
155,84,109.0,71,46.0,-0.3871554010639812,-0.6298458136499636,False,False,93
258,105,121.0,153,137.0,-0.22021143112601171,-0.12140263593655205,False,False,94
283,90,165.0,193,118.0,-0.36502746927287477,-0.20108625383820092,False,False,95
336,186,236.0,150,100.0,0.04554522019163332,0.12700362575839125,False,False,96
202,105,108.0,97,94.0,0.2888463752634668,-0.3474370103671359,False,False,97
156,60,90.0,96,66.0,-0.4585077309513873,-2.1446242002483498,False,False,98
185,96,130.0,89,55.0,-0.07608074777555371,0.14300442590009582,False,False,99
200,132,153.0,68,47.0,-0.18886560809235825,-0.14800905741936696,False,False,100
